3890909 Samsung			457.28 2015
2787985 Acer	 		572.20 2013
4900088 LG       		232.99 2008
1989000 Nokia    		237.24 2006
0089076 Sharp    		564.22 2009
2887685 Motorola 		569.28 2010
7559090 Pansonic 		290.90 2005
2887460 Siemens  		457.28 2009
2887685 Apple	 		569.28 2015
6699001 Lenovo	 		237.29 2012
9675654 Nokia    		388.00 2009
1119002 Motorola 		457.28 2008
5000882 Siemens  		277.27 2009
8888902 Samsung    		410.35 2016
5890779 Motorola 		457.28 2007
7333403 BenQ     		659.00 2009
2999900 Siemens  		457.28 2006
6987612 HTC		 	577.25 2009
8888902 BenQ     		410.35 2009
8006832 Motorola 		423.22 2008
5555902 SonyEricsson 		177.11 2007
9873330 Nokia		 	677.90 2010
8888902 BenQ     		410.35 2009
5909887 Apple		 	327.99 2015
2389076 BlackBerry    	564.22 2010
1119000 SonyEricsson 		347.94 2009
